"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Oil|w/ CCS","EJ/yr",0,0,0,0,0.0412,0.0152,0.0749,0.1344,0.1312
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Nuclear","EJ/yr",3.1181,2.95,3.2571,3.5962,3.9705,4.3138,4.763,4.8301,4.721
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Wind|Onshore","EJ/yr",0.5296,1.0819,1.2648,1.7919,2.5833,2.9138,4.204,4.5893000000000015,5.2912
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr",0.3678999999999999,0.2488,0.268,0.2672,0.2024,0.2651,0.1711,0.10800000000000001,0.1053
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr",0.47700000000000004,0.6503,0.7149,0.7793,0.8509,0.9419,1.0618,1.2757,1.6171
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",1136.9996,986.5324,988.1851,815.7514,612.0033,586.471,406.9118,247.2409,226.9037
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Solar|PV","EJ/yr",0.1587,0.4903,0.7883,1.0457,1.7307,1.9688,2.8982,3.2019,3.7488
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Fossil|w/ CCS","EJ/yr",0,0,0,0,0.7535000000000001,0.7607999999999999,1.69,2.5649,2.4577
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Transmission Losses","EJ/yr",0.7959999999999999,0.7521,0.7814,0.807,0.8786,0.9181,1.0312,1.0589,1.1149
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Fossil|w/o CCS","EJ/yr",6.3428,5.3734,5.5318,4.8927999999999985,3.7041,3.7133,2.5103,1.3773,1.2931
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Coal|w/ CCS","EJ/yr",0,0,0,0,0.2814,0.5885,0.7511,0.8991,0.8347
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Gas","EJ/yr",2.8766000000000003,2.1109,2.3819999999999997,2.6656,2.821,2.8923,2.9049,2.8378,2.7697000000000003
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",2.1586,3.0561000000000003,3.6347,4.7413,6.3338,6.9639000000000015,8.7639,9.6491,10.979000000000001
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Solar","EJ/yr",0.1587,0.4903,0.7883,1.0457,1.7307,1.9688,2.6836,3.0613,3.616
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Fossil","EJ/yr",6.3428,5.3734,5.5318,4.8927999999999985,4.4577,4.4741,4.2374,4.0724,3.9021
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Biomass","EJ/yr",0.47700000000000004,0.6503,0.7149,0.7793,0.8523000000000001,0.9422,1.0801,1.2848,1.6328
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr",3.0983,3.0137,2.8819,1.9602,1.1117,0.7129,0.3236,0.0757,0.0441
