"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_INDCi2030_1800","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_INDCi2030_1800","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.974,6.9042,7.360900000000001,7.6596,7.9115,8.1011,8.2369,8.3426,8.3569,8.4262,8.5127,8.702,8.8747,9.0268,9.1339,9.2973
"AIM/CGE 2.2","EN_INDCi2030_1800","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3876,10.9912,11.0977,11.0668,11.0089,10.9049,10.7578,10.5878,10.3478,10.1456,9.9498,9.8312,9.6963,9.5535,9.384799999999998,9.2741
"AIM/CGE 2.2","EN_INDCi2030_1800f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3616,17.895400000000006,18.4586,18.7263,18.9205,19.006100000000004,18.9946,18.9304,18.7047,18.5718,18.4626,18.5331,18.570999999999998,18.5804,18.5186,18.5716
"AIM/CGE 2.2","EN_INDCi2030_1800f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_INDCi2030_1800f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.974,6.9042,7.360900000000001,7.6596,7.9115,8.1011,8.2369,8.3426,8.3569,8.4262,8.5127,8.702,8.8747,9.0268,9.1339,9.2973
"AIM/CGE 2.2","EN_INDCi2030_1800f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3876,10.9912,11.0977,11.0668,11.0089,10.9049,10.7578,10.5878,10.3478,10.1456,9.9498,9.8312,9.6963,9.5535,9.384799999999998,9.2741
"AIM/CGE 2.2","EN_INDCi2030_800f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3616,17.895400000000006,18.4586,17.1659,17.1527,17.6231,17.944499999999994,18.0653,18.201,18.3674,18.6067,18.7247,18.7857,18.802,18.7781,18.8619
"AIM/CGE 2.2","EN_INDCi2030_800f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_INDCi2030_800f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.974,6.9042,7.360900000000001,6.8222999999999985,6.9673,7.3593,7.6720000000000015,7.895,8.1425,8.3857,8.6582,8.8643,9.0377,9.1876,9.3158,9.4974
